receiver_dist_m,nearest_m,margin_m,nearest_same_m,nearest_other_m,n_within_8m,n_within_3m,pass_distance_m,pass_interval_s,inferred,passer,receiver,window,ours,truth,correct
1.718857961628327,1.718857961628327,2.499198270350524,4.218056231978851,1.718857961628327,8,1,7.1,0.36,True,136,124,w1 stoke 1820,intercepted,success,False
1.6667264272512388,1.6667264272512388,0.9606952549025214,1.6667264272512388,3.4440535942283352,7,2,0.3,0.04,False,222,218,w1 stoke 1820,success,success,True
1.6791582977412138,1.6791582977412138,0.79181341861292,2.470971716354134,1.6791582977412138,5,2,2.9,0.64,False,109,99,w1 stoke 1820,intercepted,success,False
2.602033332678751,2.602033332678751,1.383353749664598,3.985387082343349,2.602033332678751,3,1,17.1,1.04,True,128,136,w1 stoke 1820,intercepted,success,False
4.230116104156817,4.230116104156817,2.3300030569927914,4.230116104156817,6.560119161149609,4,0,13.6,0.8,True,166,219,w1 stoke 1820,success,success,True
1.02070177472997,1.02070177472997,0.5059808622686073,1.02070177472997,1.5266826369985773,5,2,2.4,0.16,True,14,6,w1 stoke 1820,success,success,True
1.3133355119430798,1.3133355119430798,1.255882139488972,2.569217651432052,1.3133355119430798,3,2,3.8,0.32,True,168,72,w1 stoke 1820,intercepted,success,False
4.244790837906189,4.244790837906189,0.80567503631777,4.244790837906189,9.290857513723093,3,0,5.5,0.84,False,179,166,w1 stoke 1820,success,success,True
4.689245354620189,4.689245354620189,0.9318578238385911,8.8393126212669,4.689245354620189,3,0,5.4,1.12,True,97,121,w1 stoke 1820,intercepted,success,False
1.40221157799971,1.40221157799971,0.3359532654094941,1.738164843409204,1.40221157799971,9,3,11.5,1.2,True,59,56,w1 stoke 1820,intercepted,success,False
0.6192510961868165,0.6192510961868165,0.7179562759077498,1.3372073720945663,0.6192510961868165,8,2,4.2,0.6,False,57,84,w1 stoke 1820,intercepted,success,False
3.26049527587401,3.26049527587401,1.3429938861953006,3.26049527587401,9.903031107747104,2,0,0.3,0.08,False,121,142,w1 stoke 1820,success,success,True
1.2658284097553214,1.2658284097553214,0.5786446283975126,1.844473038152834,1.2658284097553214,5,2,2.9,0.36,False,168,99,w1 stoke 1820,intercepted,success,False
2.7405877506940475,2.7405877506940475,1.1062874006246282,2.7405877506940475,4.279657694182117,5,1,0.6,0.04,False,191,229,w1 stoke 1820,success,success,True
5.355095040683988,5.355095040683988,0.791386502303876,5.355095040683988,6.146481542987864,4,0,19.5,1.28,True,227,229,w1 stoke 1820,success,success,True
2.8648393336573825,2.8648393336573825,0.003827214188827366,2.8648393336573825,6.478928274002322,3,2,3.4,0.16,True,29,10,w1 stoke 1820,success,success,True
4.5034811682695395,4.5034811682695395,2.6759802355912203,13.295800599981856,4.5034811682695395,2,0,31.7,2.4,True,10,54,w1 stoke 1820,intercepted,intercepted,True
1.9124223783940701,1.9124223783940701,0.7856435843312206,1.9124223783940701,2.6980659627252908,5,2,2.0,0.32,True,109,168,w1 stoke 1820,success,success,True
4.458088829196517,4.458088829196517,0.2912703985714655,4.749359227767982,4.458088829196517,4,0,2.0,0.16,True,180,124,w1 stoke 1820,intercepted,success,False
1.704287106862377,1.704287106862377,0.8763317867166043,1.704287106862377,4.173253274455327,9,2,0.5,0.2,True,41,92,w1 stoke 1820,success,success,True
4.634216195912628,4.634216195912628,1.1185930286708716,4.634216195912628,7.797784332344012,4,0,0.3,0.04,False,196,202,w1 stoke 1820,success,success,True
3.2428891902022636,3.2428891902022636,0.7372054393298808,3.2428891902022636,4.20102334730393,5,0,0.4,0.04,False,14,6,w1 stoke 1820,success,success,True
0.7301106777046027,0.7301106777046027,1.8541278916811181,2.584238569385721,0.7301106777046027,8,2,16.6,1.16,True,142,99,w1 stoke 1820,intercepted,success,False
0.310637152084089,0.310637152084089,3.0220167225519146,3.3326538746360037,0.310637152084089,6,1,9.7,1.88,True,19,12,w1 stoke 1820,intercepted,success,False
1.0778248656639502,1.0778248656639502,0.250379849822987,1.0778248656639502,1.3282047154869372,6,2,7.5,0.84,True,11,19,w1 stoke 1820,success,success,True
2.372161820431474,2.372161820431474,0.6573256284035751,3.029487448835049,2.372161820431474,5,1,0.4,0.04,False,202,222,w1 stoke 1820,intercepted,success,False
3.5241642519306815,3.5241642519306815,5.503742208613282,3.5241642519306815,20.71504196020255,1,0,0.5,0.16,True,14,29,w1 stoke 1820,success,success,True
3.590115185620596,3.590115185620596,0.8581072280836795,4.448222413704276,3.590115185620596,5,0,0.4,0.04,False,99,109,w1 stoke 1820,intercepted,success,False
3.780822347035502,3.780822347035502,0.3146022715359327,4.0954246185714345,3.780822347035502,6,0,17.9,0.8,True,54,59,w1 stoke 1820,intercepted,intercepted,True
1.2938135813826048,1.2938135813826048,0.6922555098819272,1.986069091264532,1.2938135813826048,6,2,0.3,0.04,False,12,14,w1 stoke 1820,intercepted,success,False
1.3888147966933155,1.3888147966933155,3.026092044089438,4.414906840782754,1.3888147966933155,10,1,10.3,1.52,True,92,97,w1 stoke 1820,intercepted,success,False
1.3785288325594875,1.3785288325594875,1.8984452535149094,3.532347301249689,1.3785288325594875,5,1,3.4,0.52,False,183,153,w2 stoke 4010,intercepted,intercepted,True
